Article_ID,Author (Last),2 to 5,6 to 9,10+,Space1,B,D,L,ND,R,Space2,CV,LOSO,SS,Space3,A,A+F1,F1,O,Space4,Mult. Algs,CW,Dif Dataset,Cross Dataset,Space5,Data Avail,Open Source Code,Open Weight Model,Space6,Replicable,Reproducible
14,"Farrahi, V",Y,,,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,Y,,,,,
7,"Fasciglione, A",,,Y,,,Y,,,,,,,Y,,,,Y,,,,,,,,,,,,,
75,"Filippou, V",Y,Y,,,,,,Y,,,Y,,,,Y,,,,,Y,,,,,,,,,,
122,"Garcia-Ceja, E",,,Y,,,,,,Y,,Y,,,,Y,,,,,Y,,Y,,,Y,,,,,
128,"Garcia-Masso, X",Y,,,,Y,,,,,,,,Y,,Y,,,,,Y,Y,,,,,,,,,
19,"Ghorbanzade, P",,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
31,"Gil-Martín, M",,,Y,,,Y,,,,,,,,,Y,,,,,,,Y,,,Y,,,,Y,
15,"Gjoreski, M",Y,,Y,,Y,,,,Y,,,Y,,,Y,,,,,Y,Y,Y,,,Y*,,,,,
32,"Hajifar, S",,,Y,,,Y,,,,,,,,,,Y,,,,,Y,Y*,Y*,,,Y,,,y,
88,"Haresamudram, H",,Y,,,,,,,,,Y,,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y
20,"Hegde, C",,,Y,,,,,,Y,,,,Y,,,Y,,,,,,Y,Y,,Y,,,,,
76,"Hnoohom, N",,,Y,,,,,,,,Y,,,,,Y,,,,Y,,,,,Y,,,,Y,
90,"Hoelzemann, A",,Y,,,,,,,,,Y,,,,,,Y,,,,,Y,Y,,Y,,,,,
89,"Hoelzemann, A",Y,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,,,Y,Y
61,"Huang, Y",Y,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,
41,"Imran, H",,,Y,,,Y,,,,,Y,,,,,Y,,,,Y,Y,Y,,,Y,,,,Y,
118,"Ishii, S",Y,,,,,,Y,,,,,Y,,,Y,,,,,Y,Y,,,,,,,,Y,
34,"Jablonsky, N",Y,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,,
37,"Janidarmian, M",,Y,,,Y,,,,,,,Y,,,Y,,,,,Y,,,,,Y,,,,Y,Y
79,"Jeon, E",,,Y,,,,,,,,,,Y,,Y,,,,,,Y,Y,,,Y,Y*,,,,
105,"Joshi, S",,,Y,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,Y,,,,Y,
43,"Kanjilal, R",Y,,,,,,,,,,,Y,,,Y,,,,,Y,,,,,Y,,,,,
53,"Kao, T",,Y,,,,Y,,,,,,,Y,,Y,,,,,,Y,,,,,,,,,
111,"Khalifa, S",,Y,,,,,,,,,Y,,,,Y,,,,,Y,Y,Y,,,Y,,,,,
36,"Khan, A",,,Y,,,,,,,,Y,,,,,,Y,,,,,Y,,,Y,,,,,
69,"Kikhia, B",,Y,,,,Y,,,,,,Y,,,,Y,,,,Y,Y,,,,,,,,Y,
58,"Koping, L",,,Y,,,,,,,,,,,,,,,Y,,,Y,,,,,Y*,,,Y,
16,"Koskimäki, H",,,Y,,,,,,Y,,,,,,Y,,,,,Y,,Y,,,Y,,,,,
129,"Lamooki, S",,,Y,,,Y,,,,,Y,,,,,Y,,,,Y,Y,,,,Y,Y,,,Y,Y
62,"Lee, S",,,Y,,,,,,Y,,,Y,,,,,Y,,,Y,Y,,,,,,,,Y,
115,"Leyva, R",,,Y,,,,,,,,,Y,,,,,,Y,,,,Y,,,Y,,,,,
91,"Li, J",Y,,,,,,,Y,,,,Y,,,,Y,,,,Y,Y,,,,,,,,,
112,"Li, Q",,Y,,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,,,,,,
103,"Li, T",Y,,,,,,,Y,,,,,Y,,Y,,,,,,,Y,,,,,,,,
98,"Liu, R",,,Y,,,Y,,,,,,,Y,,Y,,,,,,,,,,Y,,,,,
51,"Lu, J",Y,Y,,,,,,,,,,,Y,,Y,,,,,Y,Y,Y,,,Y,Y,Y,,Y,Y
102,"Lu, J",,,Y,,,,,,Y,,,,,,,Y,,,,Y,Y,Y,,,Y,,,,,
97,"Lu, W",,,Y,,,,,,Y,,,,Y,,,Y,,,,Y,,Y,,,Y,,,,,
130,"Lupion, M",,,Y,,,Y,,,,,,,Y,,,,Y,,,Y,,,,,Y,Y,,,Y,
137,"Mannini, A",Y,,,,,Y,,,,,,Y,,,,Y,,,,,Y,,,,Y,Y,,,Y,Y
126,"Mannini, A",Y,,,,,Y,,,,,,Y,,,Y,,,,,,Y,,,,Y,Y,,,Y,Y
2,"Mannini, A",Y,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,Y,,,,Y,Y
63,"Mardini, T",,,Y,,,,,,Y,,Y,,,,,Y,,,,Y,Y,,,,,,,,,
78,"Margarito, J",,Y,,,,,,,,,,,Y,,,,,Y,,Y,Y,,,,,,,,,
47,"Mehrang, S",Y,,,,,Y,,,,,,Y,,,Y,,,,,,Y,,,,,,,,Y,
101,"Mekruksavanich, S",Y,,,,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,
54,"Mekruksavanich, S",,,Y,,,Y,,,,,Y,,,,,Y,,,,Y,,,,,Y,,,,,
124,"Mekruksavanich, S",,,Y,,,Y,,,,,,Y,,,Y,,,,,Y,,Y,,,Y,,,,Y,
77,"Mekruksavanich, S",,Y,,,,Y,,,,,Y,,,,,Y,,,,Y,,,,,Y,,,,,
104,"Mekruksavanich, S",,,Y,,,,,,Y,,Y,,,,,Y,,,,Y,Y,,,,Y,,,,,
107,"Mekruksavanich, S",,,Y,,,Y,,,,,,,,,,Y,,,,Y,Y,,,,Y,,,,,
65,"Minh, N",Y,,,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,Y,,,,,
108,"Neira-Rodado, D",,,Y,,,Y,,,,,Y,,,,,,Y,,,Y,,,,,Y,,,,,
106,"Ni, Q",,,Y,,,,Y,,,,Y,,,,,Y,,,,Y,Y,,,,,,,,,
42,"Nithin, G",Y,,,,,,,,,,,,Y,,Y,,,,,Y,,,,,,,,,,
35,"Okai, J",,,Y,,,,,,,,,Y,,,Y,,,,,Y,Y,,,,Y,,,,,
50,"Pagán, J",,,Y,,Y,,,,,,,,Y,,Y,,,,,,,,,,Y,,,,Y,Y
55,"Pannurat, N",,Y,,,,,,,,,Y,,,,Y,,,,,Y,Y,,,,,,,,Y,
70,"Qamar, N",,,Y,,,,,,,,Y,,,,,Y,,,,Y,Y,,,,Y,,,,,
125,"Ramezani, R",,,Y,,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,Y,
52,"Roy, A",Y,,,,,,,,,,Y,,,,Y,,,,,,Y,,,,Y,,,,,
56,"San-Segundo, R",,Y,,,Y,,,,,,,Y,,,,,Y,,,Y,Y,,,,Y,,,,,
64,"Sandhu, M ",Y,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,
135,"Sasaki, J",Y,,,,,Y,,,,,,Y,,,Y,,,,,Y,Y,,,,,,,,Y,
95,"Shahmohammadi, F",Y,,,,,,,,,,,Y,,,,Y,,,,Y,Y,,,,,,,,,
73,"Shang, M",Y,,,,,Y,,,,,,Y,,,,,Y,,,Y,Y,Y,,,Y,,,,,
57,"Sharma, G",,Y,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,,,,,
68,"Sheng, Z",,Y,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,,Y,
117,"Shoaib, M",,,Y,,,Y,,,,,Y,,,,,,Y,,,Y,Y,,,,Y*,,,,Y,Y
121,"Shojaedini, S",,Y,,,,,,,,,,,,,Y,,,,,Y,Y,Y,,,Y,,,,Y,
114,"Siirtola, P",Y,,,,,,Y,,,,,,,,Y,,,,,Y,,Y,,,,,,,Y,
3,"Singh, A",,Y,,,,,,,,,,,Y,,,Y,,,,Y,Y,,,,Y,,,,,
93,"Stisen, A",,Y,,,Y,,,,,,,,,,,,Y,,,Y,,,,,Y,,,,,
110,"Stojchevska, M",Y,,,,,,,,Y,,,Y,,,,Y,,,,,Y,Y,"Y",,Y,,,,Y,Y
136,"Strath, S",,Y,,,,,,Y,,,,Y,,,Y,,,,,,Y,,,,,,,,,
74,"Sun, X",,Y,,,,,,,Y,,,,Y,,,Y,,,,Y,Y,Y,,,,,,,,
49,"Sztyler, T",,Y,,,,,Y,,,,Y,,,,,,Y,,,,Y,,,,Y,Y*,,,,
100,"Sztyler, T",,Y,,,,,,,,,,,,,,,Y,,,,Y,,,,Y,Y*,,,,
123,"Tang, Q",,,Y,,Y,,,,,,,Y,,,,,Y,,,,,,,,Y*,Y,,,Y,Y
18,"Tian, D",Y,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,
48,"Tian, Y",,Y,,,,,Y,,,,,Y,,,,Y,,,,Y,Y,,,,,,,,Y,
72,"Tian, Y",,Y,,,,,Y,,,,,Y,,,,Y,,,,Y,Y,,,,,,,,Y,
131,"Trost, S",,Y,,,,,,Y,,,Y,,,,Y,,,,,,Y,,,,,Y*,,,Y,
38,"Wang, Z",,Y,,,,,,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,Y,
81,"Ward, S",,Y,,,Y,,,,,,Y,,,,Y,,,,,Y,,,,,Y,,,,Y,Y
40,"Weiss, G",,,Y,,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,,,
67,"Wijekoon, A",,Y,,,,,,,Y,,,,Y,,Y,,,,,,,Y,,,Y,,,,,
92,"Xu, L",,Y,,,,,,,,,,,Y,,Y,,,,,Y,Y,,,,,,,,Y,
127,"Yuan, H",,,Y,,,,,,,,Y,,,,,Y,,,,Y,,Y,Y,,Y,Y,Y*,,Y,Y
60,"Zainudin, M",,,Y,,,Y,,,,,,,Y,,Y,,,,,,Y,,,,Y,,,,,
30,"Zalewski, P",,Y,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,,
133,"Zhang, S",Y,,,,Y,,,,,,Y,,,,,,Y,,,Y,Y,,,,,,,,Y,
45,"Zhang, Y",,Y,,,,,,,,,,,Y,,,Y,,,,Y,Y,Y,,,Y,Y,,,Y,
29,"Zheng, X",,Y,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,Y,
113,"Zhou, F",,Y,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,
